start,activation_ins_buzz
0.0,-2.72
0.96,-1.52
1.92,-1.6
2.88,-1.67
3.84,-1.34
4.8,-1.99
5.76,-1.8
6.72,-1.55
7.68,-2.22
8.64,-2.66
9.6,-2.19
10.56,-1.65
11.52,-2.11
12.48,-1.65
13.44,-1.71
14.4,-2.31
15.36,-1.79
16.32,-1.75
17.28,-1.96
18.24,-1.58
19.2,-1.91
20.16,-2.07
21.12,-1.74
22.08,-1.75
23.04,-1.48
24.0,-1.33
24.96,-2.44
25.92,-1.72
26.88,-1.73
27.84,-1.76
28.8,-1.48
29.76,-2.3
30.72,-2.0
31.68,-1.47
32.64,-2.02
33.6,-1.45
34.56,-2.15
35.52,-1.67
36.48,-1.52
37.44,-1.87
38.4,-1.5
39.36,-2.78
40.32,-2.01
41.28,-1.29
42.24,-1.55
43.2,-1.95
44.16,-2.28
45.12,-1.51
46.08,-2.66
47.04,-2.02
48.0,-1.73
48.96,-2.3
49.92,-1.62
50.88,-2.43
51.84,-1.74
52.8,-1.94
53.76,-1.46
