date,system_id,n_tracks,n_dropped,n_spike_tracks,n_exit_v1,n_exit_v3,n_return_v1,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched
2026-04-13,900,369,0,169,18,18,51,23,1.2777777777777777,1086.5,1000.6875,16
2026-04-14,900,1246,0,562,127,118,169,91,0.7711864406779662,6031.0,6993.956043956044,91
2026-04-15,900,1518,0,615,163,143,233,138,0.965034965034965,3849.0,3946.094890510949,137
2026-04-16,900,935,0,412,91,83,165,77,0.927710843373494,4785.0,5278.671052631579,76
2026-04-17,900,1302,0,488,160,137,250,144,1.051094890510949,2129.0,2122.2700729927005,137
2026-04-18,900,2401,0,778,363,281,484,277,0.9857651245551602,1714.0,1745.9675090252708,277
2026-04-19,900,1080,0,358,133,111,226,136,1.2252252252252251,2291.0,1898.5405405405406,111
2026-04-20,900,1283,0,456,164,144,253,151,1.0486111111111112,2759.0,2596.867132867133,143
2026-04-21,900,859,0,335,81,77,156,70,0.9090909090909091,4325.0,4746.898550724638,69
2026-04-21,939,603,0,250,43,22,9,33,1.5,465.0,503.5238095238095,21
2026-04-22,900,846,0,350,94,76,139,67,0.881578947368421,4671.0,5128.194029850746,67
2026-04-22,939,659,0,268,78,60,91,38,0.6333333333333333,10202.0,9119.657894736842,38
2026-04-23,900,793,0,256,97,77,146,73,0.948051948051948,4094.5,4590.828571428571,70
2026-04-23,939,643,0,262,88,60,82,33,0.55,6408.0,5885.935483870968,31
2026-04-24,900,898,0,282,93,80,164,88,1.1,2565.0,2491.75,80
2026-04-24,939,534,0,227,35,37,37,16,0.43243243243243246,6142.0,7149.9375,16
2026-04-25,900,842,0,264,92,63,183,96,1.5238095238095237,2314.0,2048.746031746032,63
2026-04-25,939,422,0,155,19,32,16,5,0.15625,10008.0,7475.0,5
2026-04-26,900,947,0,349,87,77,150,79,1.025974025974026,5516.0,5471.32,75
2026-04-26,939,541,0,222,30,35,54,25,0.7142857142857143,6496.0,7247.0,24
2026-04-27,900,1568,0,542,137,140,260,119,0.85,4382.0,4702.160714285715,112
2026-04-27,939,630,0,224,67,38,84,41,1.0789473684210527,2207.0,3286.0,37
2026-04-28,900,957,0,359,71,72,131,62,0.8611111111111112,6818.0,6510.806451612903,62
2026-04-28,939,505,0,204,50,45,50,33,0.7333333333333333,7236.0,7078.909090909091,33
2026-04-29,900,1020,0,503,69,59,111,62,1.0508474576271187,2085.5,2711.8928571428573,56
2026-04-29,939,452,0,179,33,30,31,10,0.3333333333333333,3249.0,5504.8,10
2026-04-30,900,1166,0,533,85,76,120,57,0.75,3993.0,6047.686274509804,51
2026-04-30,939,417,0,173,1,9,5,5,0.5555555555555556,9143.0,11058.2,5
2026-05-01,900,944,0,433,85,81,131,77,0.9506172839506173,3957.0,4500.266666666666,75
2026-05-01,939,466,0,135,52,43,55,24,0.5581395348837209,3183.0,6409.666666666667,21
2026-05-02,900,1266,0,529,110,92,185,121,1.315217391304348,625.5,766.6630434782609,92
2026-05-02,939,992,0,353,150,99,158,71,0.7171717171717171,4140.0,5835.1,70
2026-05-03,900,1142,0,388,106,89,167,113,1.2696629213483146,431.0,653.9101123595506,89
2026-05-03,939,610,0,182,140,92,105,36,0.391304347826087,7566.0,5825.727272727273,33
2026-05-04,900,1328,0,628,98,80,136,60,0.75,5402.5,5886.551724137931,58
2026-05-04,939,530,0,195,62,46,72,36,0.782608695652174,6856.0,6816.194444444444,36
2026-05-05,900,870,0,435,86,81,101,54,0.6666666666666666,7993.5,7910.888888888889,54
2026-05-05,939,787,0,304,92,59,91,39,0.6610169491525424,2245.0,4129.641025641025,39
2026-05-06,900,1451,0,660,127,111,187,97,0.8738738738738738,4048.0,4422.09375,96
2026-05-06,939,620,0,254,75,54,86,35,0.6481481481481481,3025.0,3629.0588235294117,34
2026-05-07,900,1168,0,532,119,96,150,87,0.90625,5490.0,6081.517647058824,85
2026-05-07,939,568,0,255,59,38,89,49,1.2894736842105263,1386.0,3030.212121212121,33
2026-05-08,900,1328,0,596,138,115,181,95,0.8260869565217391,2911.0,3083.0315789473684,95
2026-05-08,939,846,0,373,94,59,144,58,0.9830508474576272,1644.0,1931.8431372549019,51
2026-05-09,900,1218,0,574,107,85,186,94,1.1058823529411765,1278.0,1702.6352941176472,85
2026-05-09,939,654,0,271,83,48,105,49,1.0208333333333333,698.0,1871.5106382978724,47
2026-05-10,900,1147,0,591,94,72,138,72,1.0,2960.0,3033.450704225352,71
2026-05-10,939,444,0,186,45,39,49,23,0.5897435897435898,3523.0,3777.5652173913045,23
2026-05-11,900,1123,0,470,113,92,158,94,1.0217391304347827,2667.0,2606.978021978022,91
2026-05-11,939,696,0,314,66,40,48,22,0.55,11442.0,11181.952380952382,21
2026-05-12,900,1272,0,654,119,92,151,82,0.8913043478260869,1435.0,1640.6052631578948,76
2026-05-12,939,591,0,261,77,38,80,44,1.1578947368421053,1403.0,1744.078947368421,38
2026-05-13,900,988,0,514,84,67,103,60,0.8955223880597015,4198.5,4735.683333333333,60
2026-05-13,939,626,0,315,68,38,89,44,1.1578947368421053,1111.0,1481.8333333333333,36
2026-05-14,900,839,0,445,70,68,95,47,0.6911764705882353,4368.0,4423.191489361702,47
2026-05-14,939,671,0,268,84,49,65,28,0.5714285714285714,6266.0,6430.142857142857,28
