date,system_id,condition,cycle,neg_exit_count,neg_re_ratio,path_tortuosity,ifi_cv,mean_handling_time_s,n_distinct_flowers,n_exit_v3,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched,n_visits,mean_dbm,max_dbm,median_dbm,mean_mbps,max_mbps
2026-04-13,900,BASELINE,-1,-18.0,-1.2777777777777777,2.4689024356402767,2.0250709768853445,6.067792090909062,8.0,18,23,1.2777777777777777,1086.5,1000.6875,16,11.0,-30.900694444444444,-29.9,-30.9,,
2026-04-14,900,BASELINE,-1,-118.0,-0.7711864406779662,2.3723707434160586,2.68224383275013,7.813052000000003,15.0,118,91,0.7711864406779662,6031.0,6993.956043956044,91,29.0,-30.930555555555557,-30.5,-30.9,,
2026-04-15,900,BASELINE,-1,-143.0,-0.965034965034965,2.2098642045687216,2.1323943555108427,5.119708818181805,20.0,143,138,0.965034965034965,3849.0,3946.094890510949,137,33.0,-30.920833333333334,-30.3,-30.9,,
2026-04-16,900,BASELINE,-1,-83.0,-0.927710843373494,2.406753369869664,2.149203359253627,8.370756222222234,12.0,83,77,0.927710843373494,4785.0,5278.671052631579,76,18.0,-30.953472222222224,-30.7,-30.9,,
2026-04-17,900,BASELINE,-1,-137.0,-1.051094890510949,2.160797674545625,1.3884368556138182,4.705890615384607,16.0,137,144,1.051094890510949,2129.0,2122.2700729927005,137,26.0,-30.93263888888889,-30.7,-30.9,,
2026-04-18,900,BASELINE,-1,-281.0,-0.9857651245551602,2.148106722308949,1.7758208656810717,9.068929578947374,27.0,281,277,0.9857651245551602,1714.0,1745.9675090252708,277,57.0,-30.92013888888889,-30.6,-30.9,,
2026-04-19,900,BASELINE,-1,-111.0,-1.2252252252252251,2.1849613601769557,1.393220755244164,6.7241683500000535,11.0,111,136,1.2252252252252251,2291.0,1898.5405405405406,111,20.0,-30.956944444444446,-30.5,-31.0,,
2026-04-20,900,BASELINE,-1,-144.0,-1.0486111111111112,2.2132070282147343,3.379746154660795,5.6373467333333185,18.0,144,151,1.0486111111111112,2759.0,2596.867132867133,143,30.0,-30.943055555555556,-30.5,-30.9,,
2026-04-21,900,BASELINE,-1,-77.0,-0.9090909090909091,2.2549056146706126,3.0477590426718546,4.512891363636383,13.0,77,70,0.9090909090909091,4325.0,4746.898550724638,69,33.0,-30.920833333333334,-30.0,-30.9,,
2026-04-22,900,BASELINE,-1,-76.0,-0.881578947368421,2.300485714364865,3.217136593849155,4.055770384615401,11.0,76,67,0.881578947368421,4671.0,5128.194029850746,67,26.0,-25.929722222222225,9.97,-30.9,,
2026-04-23,900,ON,0,-77.0,-0.948051948051948,2.415872310772589,3.5939284037954295,5.5606676250000175,11.0,77,73,0.948051948051948,4094.5,4590.828571428571,70,24.0,2.8049444444444447,12.8,10.1,272.94545454545454,291.0
2026-04-24,900,ON,0,-80.0,-1.1,2.3050292701511443,2.38649301044518,5.815506631578957,17.0,80,88,1.1,2565.0,2491.75,80,38.0,10.484583333333333,13.9,11.55,271.9642857142857,289.0
2026-04-25,900,ON,0,-63.0,-1.5238095238095237,2.132468945320891,2.083671429020578,8.59246205882353,12.0,63,96,1.5238095238095237,2314.0,2048.746031746032,63,34.0,8.601597222222223,13.5,10.2,272.3037037037037,290.0
2026-04-26,900,OFF,0,-77.0,-1.025974025974026,2.344824360919552,2.4811948557895023,7.031193482758593,11.0,77,79,1.025974025974026,5516.0,5471.32,75,29.0,-20.986180555555556,1.47,-17.25,5.072727272727272,279.0
2026-04-27,900,OFF,0,-140.0,-0.85,2.2293565263057267,2.2987328281921524,5.782805071428579,21.0,140,119,0.85,4382.0,4702.160714285715,112,42.0,-20.654375,-6.04,-15.5,0.0,0.0
2026-04-28,900,OFF,0,-72.0,-0.8611111111111112,2.373537041223618,2.6133258825199723,5.101004967741921,20.0,72,62,0.8611111111111112,6818.0,6510.806451612903,62,31.0,-19.00294117647059,-4.21,-14.1,0.0,0.0
2026-04-29,900,ON,1,-59.0,-1.0508474576271187,2.450629771682329,2.8071439271116776,5.904378380952373,17.0,59,62,1.0508474576271187,2085.5,2711.8928571428573,56,21.0,3.4053472222222223,11.8,8.370000000000001,269.9561403508772,290.0
2026-04-30,900,ON,1,-76.0,-0.75,2.471417031164658,3.6638210207357775,10.761726909090918,16.0,76,57,0.75,3993.0,6047.686274509804,51,22.0,5.540972222222222,12.1,10.05,279.4344262295082,293.0
2026-05-01,900,ON,1,-81.0,-0.9506172839506173,2.501956769089496,2.963644440977694,4.478434363636406,11.0,81,77,0.9506172839506173,3957.0,4500.266666666666,75,22.0,6.266076388888888,12.4,10.2,269.748031496063,291.0
2026-05-02,900,OFF,1,-92.0,-1.315217391304348,2.3011109656819153,3.3124039368787854,6.6597178461538356,25.0,92,121,1.315217391304348,625.5,766.6630434782609,92,39.0,-21.488055555555558,-3.93,-17.75,0.0,0.0
2026-05-03,900,OFF,1,-89.0,-1.2696629213483146,2.1384460771374583,3.067808565249821,6.711917954545436,11.0,89,113,1.2696629213483146,431.0,653.9101123595506,89,22.0,-20.78097222222222,-5.26,-15.850000000000001,0.0,0.0
2026-05-04,900,OFF,1,-80.0,-0.75,2.2163606924048564,3.356015275136541,6.357104000000004,25.0,80,60,0.75,5402.5,5886.551724137931,58,43.0,-18.47152777777778,-4.08,-13.2,0.0,0.0
2026-05-05,900,ON,2,-81.0,-0.6666666666666666,2.323812587109742,2.592027632497068,4.371138631578943,12.0,81,54,0.6666666666666666,7993.5,7910.888888888889,54,19.0,11.128541666666667,13.6,11.2,281.3541666666667,293.0
2026-05-06,900,ON,2,-111.0,-0.8738738738738738,2.28020563716849,2.124157860590021,6.649369538461586,20.0,111,97,0.8738738738738738,4048.0,4422.09375,96,39.0,11.391388888888889,12.9,11.5,291.6666666666667,319.0
2026-05-07,900,ON,2,-96.0,-0.90625,2.2873131377462883,2.629907731318395,6.898637178571424,16.0,96,87,0.90625,5490.0,6081.517647058824,85,28.0,9.911388888888888,13.1,11.4,278.963503649635,292.0
