feature,feature_label,threshold,system_id,uid,date,feature_value,dist_to_thr,v3_classification,n_samples
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1798709,2026-04-29,0.5,0.0,False,204
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1482221,2026-04-22,0.5,0.0,False,132
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2250148,2026-05-07,0.5,0.0,False,235
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2251436,2026-05-07,0.5,0.0,False,154
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1379333,2026-04-20,0.4999,0.0001,False,119
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1293887,2026-04-18,0.5001,0.0001,False,197
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1798639,2026-04-29,0.5001,0.0001,False,147
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2283080,2026-05-08,0.4999,0.0001,False,125
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2462262,2026-05-12,0.5001,0.0001,False,137
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2401331,2026-05-11,0.4999,0.0001,False,177
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2325169,2026-05-09,0.5001,0.0001,False,142
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2396873,2026-05-11,0.5001,0.0001,False,199
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2365344,2026-05-10,0.5001,0.0001,False,182
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1122129,2026-04-15,0.4999,0.0001,False,308
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1243351,2026-04-17,0.5002,0.0002,False,219
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1071162,2026-04-14,0.4998,0.0002,False,154
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1482255,2026-04-22,0.4998,0.0002,False,122
initial_speed_min,speed < 0.5 (takeoff),0.5,900,1180529,2026-04-16,0.4998,0.0002,False,437
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2368115,2026-05-10,0.5002,0.0002,False,130
initial_speed_min,speed < 0.5 (takeoff),0.5,900,2247581,2026-05-07,0.4998,0.0002,False,112
initial_speed_min,speed < 0.5 (takeoff),0.5,939,1792672,2026-04-28,0.5,0.0,False,150
initial_speed_min,speed < 0.5 (takeoff),0.5,939,1640946,2026-04-25,0.4999,0.0001,False,164
initial_speed_min,speed < 0.5 (takeoff),0.5,939,2095615,2026-05-03,0.4999,0.0001,False,141
initial_speed_min,speed < 0.5 (takeoff),0.5,939,1605936,2026-04-24,0.4998,0.0002,False,114
initial_speed_min,speed < 0.5 (takeoff),0.5,939,2196256,2026-05-05,0.5002,0.0002,False,114
initial_speed_min,speed < 0.5 (takeoff),0.5,939,2194627,2026-05-05,0.5003,0.0003,False,135
initial_speed_min,speed < 0.5 (takeoff),0.5,939,1918574,2026-04-30,0.5003,0.0003,False,120
initial_speed_min,speed < 0.5 (takeoff),0.5,939,1733306,2026-04-27,0.4995,0.0005,False,125
