date,system_id,n_tracks,n_dropped,n_spike_tracks,n_exit_v1,n_exit_v3,n_return_v1,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched
2026-04-13,900,369,0,222,18,11,51,34,3.090909090909091,144.5,354.2,10
2026-04-14,900,1246,0,774,127,91,169,130,1.4285714285714286,1935.0,1736.3406593406594,91
2026-04-15,900,1518,0,842,163,118,233,185,1.5677966101694916,831.5,965.9745762711865,118
2026-04-16,900,935,0,551,91,59,165,125,2.1186440677966103,761.0,862.1016949152543,59
2026-04-17,900,1302,0,674,160,117,250,192,1.641025641025641,203.0,569.8717948717949,117
2026-04-18,900,2401,0,1062,363,189,484,400,2.1164021164021163,61.0,238.12698412698413,189
2026-04-19,900,1080,0,518,133,73,226,180,2.4657534246575343,575.0,554.6164383561644,73
2026-04-20,900,1283,0,621,164,105,253,216,2.057142857142857,174.5,632.7403846153846,104
2026-04-21,900,859,0,467,81,41,156,109,2.658536585365854,209.0,335.390243902439,41
2026-04-21,939,603,0,373,43,12,9,4,0.3333333333333333,16353.0,13924.0,4
2026-04-22,900,846,0,493,94,64,139,104,1.625,1651.0,1404.375,64
2026-04-22,939,659,0,405,78,43,91,64,1.4883720930232558,3200.0,2628.317073170732,41
2026-04-23,900,793,0,392,97,63,146,107,1.6984126984126984,1999.5,1842.4032258064517,62
2026-04-23,939,643,0,363,88,41,82,48,1.170731707317073,1240.0,1564.7435897435898,39
2026-04-24,900,898,0,453,93,63,164,125,1.9841269841269842,953.0,1149.7777777777778,63
2026-04-24,939,534,0,331,35,14,37,16,1.1428571428571428,4169.0,3965.4615384615386,13
2026-04-25,900,842,0,404,93,56,183,140,2.5,607.0,640.8928571428571,56
2026-04-25,939,422,0,250,19,6,16,5,0.8333333333333334,3443.5,3459.75,4
2026-04-26,900,947,0,510,87,56,150,109,1.9464285714285714,1004.5,973.5535714285714,56
2026-04-26,939,541,0,311,30,14,54,37,2.642857142857143,582.0,607.0,14
2026-04-27,900,1568,0,762,137,98,260,168,1.7142857142857142,201.0,396.7857142857143,98
2026-04-27,939,630,0,328,66,29,84,60,2.0689655172413794,483.0,543.3793103448276,29
2026-04-28,900,957,0,523,71,38,131,90,2.3684210526315788,1886.0,1464.8918918918919,37
2026-04-28,939,505,0,284,50,23,50,40,1.7391304347826086,641.0,855.9565217391304,23
2026-04-29,900,1020,0,673,69,44,111,75,1.7045454545454546,783.5,936.8181818181819,44
2026-04-29,939,452,0,258,33,18,31,22,1.2222222222222223,718.0,1800.611111111111,18
2026-04-30,900,1166,0,755,85,50,120,91,1.82,396.0,559.9183673469388,49
2026-04-30,939,417,0,247,1,1,5,4,4.0,2777.0,2777.0,1
2026-05-01,900,944,0,596,85,57,131,105,1.8421052631578947,1160.0,1186.298245614035,57
2026-05-01,939,466,0,231,52,25,55,32,1.28,1536.0,4146.52,25
2026-05-02,900,1266,0,731,110,74,185,151,2.0405405405405403,282.5,304.13513513513516,74
2026-05-02,939,992,0,487,149,75,158,107,1.4266666666666667,331.0,679.9733333333334,75
2026-05-03,900,1142,0,551,106,68,167,137,2.014705882352941,125.0,269.36764705882354,68
2026-05-03,939,610,0,259,140,57,105,59,1.0350877192982457,778.0,1218.867924528302,53
2026-05-04,900,1328,0,831,98,64,136,95,1.484375,301.0,520.9508196721312,61
2026-05-04,939,530,0,286,62,30,72,49,1.6333333333333333,480.5,608.3333333333334,30
2026-05-05,900,870,0,585,86,62,101,76,1.2258064516129032,2215.0,2379.4032258064517,62
2026-05-05,939,787,0,475,92,45,91,53,1.1777777777777778,354.5,705.8181818181819,44
2026-05-06,900,1451,0,892,127,90,187,129,1.4333333333333333,453.0,963.1777777777778,90
2026-05-06,939,620,0,346,75,32,86,49,1.53125,503.0,892.1612903225806,31
2026-05-07,900,1168,0,732,119,80,150,110,1.375,2486.5,2204.8375,80
2026-05-07,939,568,0,346,59,40,89,64,1.6,1131.0,1986.025641025641,39
2026-05-08,900,1328,0,790,138,92,181,132,1.434782608695652,271.0,528.7391304347826,92
2026-05-08,939,846,0,530,94,51,144,109,2.1372549019607843,178.0,578.2941176470588,51
2026-05-09,900,1218,0,777,107,61,186,138,2.262295081967213,187.0,513.0819672131148,61
2026-05-09,939,654,0,385,83,37,105,76,2.054054054054054,283.0,575.3243243243244,37
2026-05-10,900,1147,0,769,94,65,138,100,1.5384615384615385,751.0,1183.1384615384616,65
2026-05-10,939,444,0,268,45,22,49,31,1.4090909090909092,746.5,839.0555555555555,18
2026-05-11,900,1123,0,641,113,75,158,121,1.6133333333333333,593.0,572.4533333333334,75
2026-05-11,939,696,0,447,66,28,48,34,1.2142857142857142,4399.0,4754.259259259259,27
2026-05-12,900,1272,0,823,119,71,151,116,1.6338028169014085,278.0,634.1408450704225,71
2026-05-12,939,591,0,364,77,30,80,58,1.9333333333333333,259.5,610.0,30
2026-05-13,900,988,0,664,84,56,103,77,1.375,1518.0,1464.0,54
2026-05-13,939,626,0,411,68,30,89,69,2.3,304.0,515.3333333333334,30
2026-05-14,900,839,0,578,70,55,95,69,1.2545454545454546,872.0,1249.909090909091,55
2026-05-14,939,671,0,386,84,29,65,32,1.103448275862069,3589.0,3118.896551724138,29
2026-05-15,900,1073,0,743,93,64,104,83,1.296875,1441.5,2269.203125,64
2026-05-15,939,641,0,387,79,38,67,42,1.105263157894737,2603.0,2475.3142857142857,35
2026-05-16,900,1338,0,815,147,97,174,132,1.3608247422680413,399.0,593.1855670103092,97
2026-05-16,939,957,0,641,89,33,68,42,1.2727272727272727,489.0,971.6129032258065,31
2026-05-17,900,1046,0,666,106,81,146,109,1.345679012345679,364.0,746.0506329113924,79
2026-05-17,939,908,0,547,107,37,60,33,0.8918918918918919,1060.5,2055.3214285714284,28
2026-05-18,900,562,0,354,72,51,77,64,1.2549019607843137,2550.0,3133.470588235294,51
2026-05-18,939,547,0,345,55,27,84,63,2.3333333333333335,192.5,251.23076923076923,26
2026-05-19,900,819,0,513,111,92,128,94,1.0217391304347827,1149.0,1616.0978260869565,92
2026-05-19,939,877,0,543,110,43,113,89,2.0697674418604652,347.5,558.3095238095239,42
2026-05-20,900,586,0,395,48,32,61,47,1.46875,573.5,964.9375,32
2026-05-20,939,362,0,210,42,21,56,42,2.0,544.5,1089.25,20
2026-05-21,900,801,0,532,76,50,110,79,1.58,847.0,1531.6666666666667,48
2026-05-21,939,583,0,355,64,31,91,65,2.096774193548387,772.0,1088.4516129032259,31
2026-05-22,900,468,0,343,34,18,47,34,1.8888888888888888,1379.5,1745.5555555555557,18
2026-05-22,939,250,0,152,28,8,33,25,3.125,1246.0,2026.875,8
2026-05-23,900,421,0,299,21,12,32,24,2.0,1573.5,1804.5833333333333,12
2026-05-23,939,302,0,198,28,6,40,24,4.0,814.0,966.2,5
2026-05-24,900,503,0,359,14,13,43,33,2.5384615384615383,939.0,1045.0,13
2026-05-24,939,367,0,235,29,18,52,31,1.7222222222222223,661.0,1053.9411764705883,17
2026-05-25,900,453,0,322,19,16,25,13,0.8125,7081.0,8640.615384615385,13
2026-05-25,939,281,0,192,22,13,43,31,2.3846153846153846,646.0,1623.6153846153845,13
2026-05-27,900,472,0,351,17,14,26,15,1.0714285714285714,6564.0,6578.076923076923,13
2026-05-27,939,438,0,292,30,9,39,27,3.0,598.5,1656.25,8
2026-05-28,900,428,0,339,11,7,27,17,2.4285714285714284,2334.0,2085.714285714286,7
2026-05-28,939,135,0,91,18,5,11,5,1.0,4821.5,5369.25,4
