date,system_id,condition,cycle,neg_exit_count,neg_re_ratio,path_tortuosity,ifi_cv,mean_handling_time_s,n_distinct_flowers,n_exit_v3,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched,n_visits,mean_dbm,max_dbm,median_dbm,mean_mbps,max_mbps
2026-04-13,900,BASELINE,-1,-11.0,-3.090909090909091,2.4587767539172076,1.4571903174866965,3.532314766666665,6,11,34,3.090909090909091,144.5,354.2,10,30,,,,,
2026-04-14,900,BASELINE,-1,-91.0,-1.4285714285714286,2.3561382712488146,2.626976531044088,6.551292785714295,7,91,130,1.4285714285714286,1935.0,1736.3406593406594,91,56,,,,,
2026-04-15,900,BASELINE,-1,-118.0,-1.5677966101694916,2.2011164238848098,2.0143843948509788,6.396788793103446,10,118,185,1.5677966101694916,831.5,965.9745762711865,118,87,,,,,
2026-04-16,900,BASELINE,-1,-59.0,-2.1186440677966103,2.402563167420629,2.856773751280445,7.0196631304348,5,59,125,2.1186440677966103,761.0,862.1016949152543,59,46,,,,,
2026-04-17,900,BASELINE,-1,-117.0,-1.641025641025641,2.1575609500742123,1.613835853101397,8.229548952941187,7,117,192,1.641025641025641,203.0,569.8717948717949,117,85,,,,,
2026-04-18,900,BASELINE,-1,-189.0,-2.1164021164021163,2.128766804569578,1.8236122847506946,9.036372109756098,9,189,400,2.1164021164021163,61.0,238.12698412698413,189,328,,,,,
2026-04-19,900,BASELINE,-1,-73.0,-2.4657534246575343,2.1748282758869975,1.5559249648703741,8.559815779411757,3,73,180,2.4657534246575343,575.0,554.6164383561644,73,68,,,,,
2026-04-20,900,BASELINE,-1,-105.0,-2.057142857142857,2.2015767511784854,3.0674945257426303,7.691801855769224,4,105,216,2.057142857142857,174.5,632.7403846153846,104,104,,,,,
2026-04-21,900,BASELINE,-1,-41.0,-2.658536585365854,2.2418120715387695,1.2112105258833503,7.297698733333346,4,41,109,2.658536585365854,209.0,335.390243902439,41,60,,,,,
2026-04-22,900,BASELINE,-1,-64.0,-1.625,2.282122496767659,2.385123351416888,4.371660090909088,5,64,104,1.625,1651.0,1404.375,64,44,,,,,
2026-04-23,900,ON,0,-63.0,-1.6984126984126984,2.4091058402187167,3.3316348518476455,5.8392631186440775,8,63,107,1.6984126984126984,1999.5,1842.4032258064517,62,59,,,,,
